Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,066037,2026,01,01,17.7,1,N
IDCJAC0011,066037,2026,01,02,17.2,1,N
IDCJAC0011,066037,2026,01,03,17.8,1,N
IDCJAC0011,066037,2026,01,04,19.7,1,N
IDCJAC0011,066037,2026,01,05,19.5,1,N
IDCJAC0011,066037,2026,01,06,20.3,1,N
IDCJAC0011,066037,2026,01,07,21.1,1,N
IDCJAC0011,066037,2026,01,08,22.8,1,N
IDCJAC0011,066037,2026,01,09,22.7,1,N
IDCJAC0011,066037,2026,01,10,23.9,1,N
IDCJAC0011,066037,2026,01,11,20.9,1,N
IDCJAC0011,066037,2026,01,12,18.1,1,N
IDCJAC0011,066037,2026,01,13,18.0,1,N
IDCJAC0011,066037,2026,01,14,21.2,1,N
IDCJAC0011,066037,2026,01,15,21.6,1,N
IDCJAC0011,066037,2026,01,16,20.1,1,N
IDCJAC0011,066037,2026,01,17,20.6,1,N
IDCJAC0011,066037,2026,01,18,19.0,1,N
IDCJAC0011,066037,2026,01,19,18.0,1,N
IDCJAC0011,066037,2026,01,20,17.4,1,N
IDCJAC0011,066037,2026,01,21,17.9,1,N
IDCJAC0011,066037,2026,01,22,18.8,1,N
IDCJAC0011,066037,2026,01,23,18.0,1,N
IDCJAC0011,066037,2026,01,24,18.3,1,N
IDCJAC0011,066037,2026,01,25,21.0,1,N
IDCJAC0011,066037,2026,01,26,21.6,1,N
IDCJAC0011,066037,2026,01,27,19.8,1,N
IDCJAC0011,066037,2026,01,28,19.0,1,N
IDCJAC0011,066037,2026,01,29,21.7,1,N
IDCJAC0011,066037,2026,01,30,22.2,1,N
IDCJAC0011,066037,2026,01,31,22.9,1,N
IDCJAC0011,066037,2026,02,01,23.4,1,N
IDCJAC0011,066037,2026,02,02,17.6,1,N
IDCJAC0011,066037,2026,02,03,16.4,1,N
IDCJAC0011,066037,2026,02,04,18.0,1,N
IDCJAC0011,066037,2026,02,05,20.4,1,N
IDCJAC0011,066037,2026,02,06,20.5,1,N
IDCJAC0011,066037,2026,02,07,22.3,1,N
IDCJAC0011,066037,2026,02,08,23.1,1,N
IDCJAC0011,066037,2026,02,09,21.6,1,N
IDCJAC0011,066037,2026,02,10,21.3,1,N
IDCJAC0011,066037,2026,02,11,21.6,1,N
IDCJAC0011,066037,2026,02,12,22.6,1,N
IDCJAC0011,066037,2026,02,13,17.5,1,N
IDCJAC0011,066037,2026,02,14,17.6,1,N
IDCJAC0011,066037,2026,02,15,17.4,1,N
IDCJAC0011,066037,2026,02,16,17.4,1,N
IDCJAC0011,066037,2026,02,17,18.4,1,N
IDCJAC0011,066037,2026,02,18,21.2,1,N
IDCJAC0011,066037,2026,02,19,20.5,1,N
IDCJAC0011,066037,2026,02,20,21.5,1,N
IDCJAC0011,066037,2026,02,21,22.4,1,N
IDCJAC0011,066037,2026,02,22,22.3,1,N
IDCJAC0011,066037,2026,02,23,23.0,1,N
IDCJAC0011,066037,2026,02,24,21.5,1,N
IDCJAC0011,066037,2026,02,25,23.4,1,N
IDCJAC0011,066037,2026,02,26,19.6,1,N
IDCJAC0011,066037,2026,02,27,20.1,1,N
IDCJAC0011,066037,2026,02,28,20.6,1,N
IDCJAC0011,066037,2026,03,01,20.1,1,N
IDCJAC0011,066037,2026,03,02,21.3,1,N
IDCJAC0011,066037,2026,03,03,21.3,1,N
IDCJAC0011,066037,2026,03,04,21.5,1,N
IDCJAC0011,066037,2026,03,05,22.0,1,N
IDCJAC0011,066037,2026,03,06,22.2,1,N
IDCJAC0011,066037,2026,03,07,23.3,1,N
IDCJAC0011,066037,2026,03,08,19.9,1,N
IDCJAC0011,066037,2026,03,09,20.2,1,N
IDCJAC0011,066037,2026,03,10,20.2,1,N
IDCJAC0011,066037,2026,03,11,20.2,1,N
IDCJAC0011,066037,2026,03,12,21.9,1,N
IDCJAC0011,066037,2026,03,13,17.7,1,N
IDCJAC0011,066037,2026,03,14,17.4,1,N
IDCJAC0011,066037,2026,03,15,16.5,1,N
IDCJAC0011,066037,2026,03,16,19.2,1,N
IDCJAC0011,066037,2026,03,17,21.7,1,N
IDCJAC0011,066037,2026,03,18,20.1,1,N
IDCJAC0011,066037,2026,03,19,20.0,1,N
IDCJAC0011,066037,2026,03,20,19.2,1,N
IDCJAC0011,066037,2026,03,21,20.1,1,N
IDCJAC0011,066037,2026,03,22,18.6,1,N
IDCJAC0011,066037,2026,03,23,19.8,1,N
IDCJAC0011,066037,2026,03,24,20.0,1,N
IDCJAC0011,066037,2026,03,25,19.8,1,N
IDCJAC0011,066037,2026,03,26,20.1,1,N
IDCJAC0011,066037,2026,03,27,12.4,1,N
IDCJAC0011,066037,2026,03,28,12.0,1,N
IDCJAC0011,066037,2026,03,29,15.2,1,N
IDCJAC0011,066037,2026,03,30,16.4,1,N
IDCJAC0011,066037,2026,03,31,16.2,1,N
IDCJAC0011,066037,2026,04,01,17.5,1,N
IDCJAC0011,066037,2026,04,02,17.6,1,N
